path,label,template_id
genuine/tpl0_0.png,genuine,0
tampered/tpl0_0.png,tampered,0
genuine/tpl0_1.png,genuine,0
tampered/tpl0_1.png,tampered,0
genuine/tpl0_2.png,genuine,0
tampered/tpl0_2.png,tampered,0
genuine/tpl0_3.png,genuine,0
tampered/tpl0_3.png,tampered,0
genuine/tpl0_4.png,genuine,0
tampered/tpl0_4.png,tampered,0
genuine/tpl1_0.png,genuine,1
tampered/tpl1_0.png,tampered,1
genuine/tpl1_1.png,genuine,1
tampered/tpl1_1.png,tampered,1
genuine/tpl1_2.png,genuine,1
tampered/tpl1_2.png,tampered,1
genuine/tpl1_3.png,genuine,1
tampered/tpl1_3.png,tampered,1
genuine/tpl1_4.png,genuine,1
tampered/tpl1_4.png,tampered,1
genuine/tpl2_0.png,genuine,2
tampered/tpl2_0.png,tampered,2
genuine/tpl2_1.png,genuine,2
tampered/tpl2_1.png,tampered,2
genuine/tpl2_2.png,genuine,2
tampered/tpl2_2.png,tampered,2
genuine/tpl2_3.png,genuine,2
tampered/tpl2_3.png,tampered,2
genuine/tpl2_4.png,genuine,2
tampered/tpl2_4.png,tampered,2
genuine/tpl3_0.png,genuine,3
tampered/tpl3_0.png,tampered,3
genuine/tpl3_1.png,genuine,3
tampered/tpl3_1.png,tampered,3
genuine/tpl3_2.png,genuine,3
tampered/tpl3_2.png,tampered,3
genuine/tpl3_3.png,genuine,3
tampered/tpl3_3.png,tampered,3
genuine/tpl3_4.png,genuine,3
tampered/tpl3_4.png,tampered,3
genuine/tpl4_0.png,genuine,4
tampered/tpl4_0.png,tampered,4
genuine/tpl4_1.png,genuine,4
tampered/tpl4_1.png,tampered,4
genuine/tpl4_2.png,genuine,4
tampered/tpl4_2.png,tampered,4
genuine/tpl4_3.png,genuine,4
tampered/tpl4_3.png,tampered,4
genuine/tpl4_4.png,genuine,4
tampered/tpl4_4.png,tampered,4
genuine/tpl5_0.png,genuine,5
tampered/tpl5_0.png,tampered,5
genuine/tpl5_1.png,genuine,5
tampered/tpl5_1.png,tampered,5
genuine/tpl5_2.png,genuine,5
tampered/tpl5_2.png,tampered,5
genuine/tpl5_3.png,genuine,5
tampered/tpl5_3.png,tampered,5
genuine/tpl5_4.png,genuine,5
tampered/tpl5_4.png,tampered,5
genuine/tpl6_0.png,genuine,6
tampered/tpl6_0.png,tampered,6
genuine/tpl6_1.png,genuine,6
tampered/tpl6_1.png,tampered,6
genuine/tpl6_2.png,genuine,6
tampered/tpl6_2.png,tampered,6
genuine/tpl6_3.png,genuine,6
tampered/tpl6_3.png,tampered,6
genuine/tpl6_4.png,genuine,6
tampered/tpl6_4.png,tampered,6
genuine/tpl7_0.png,genuine,7
tampered/tpl7_0.png,tampered,7
genuine/tpl7_1.png,genuine,7
tampered/tpl7_1.png,tampered,7
genuine/tpl7_2.png,genuine,7
tampered/tpl7_2.png,tampered,7
genuine/tpl7_3.png,genuine,7
tampered/tpl7_3.png,tampered,7
genuine/tpl7_4.png,genuine,7
tampered/tpl7_4.png,tampered,7
